"reviewer","comment_id","original_comment","issue_type","manuscript_locations","appendix_locations","evidence_files","figure_table_assets","action_required","action_taken","status","rebuttal_draft","unresolved_reason"
"Editor","ED-1","Major revision invited; provide a line-by-line response and outline every change.","editorial","Entire manuscript; figures; tables; conclusions","Entire appendix; review package","review/reviewer_comments.md; review/reviewer_response_tracker.csv; review/response_to_reviewers.md; review/CHANGES_LOG.md; paper/tex/main.log","All revised figures and tables","Create atomic tracker coverage and synchronize manuscript, appendix, rebuttal, change log, unresolved log, and build record.","Expanded the tracker to atomic IDs, rewrote the manuscript around the seed summaries, tightened the appendix audit and transfer text, bundled the Elsevier support files into paper/tex, completed a successful local latexmk build, and synchronized the rebuttal draft and logs.","partial","We converted the review into an atomic response matrix, tied each substantive manuscript change to specific evidence files, and verified a successful local build of the submission package.","A small set of evidence-limit items remains partial: R1-HR5, R1-WX1, R1-WX4, and R1-Q4."
"Editorial package","BUILD-CHECK","Verify that the revised manuscript compiles locally and document the final build path for submission.","build","paper/tex/main.tex; paper/tex/appendix.tex; paper/tex/cas-sc.cls; paper/tex/cas-common.sty; paper/tex/cas-model2-names.bst","Standalone package; review package","paper/tex/main.log; paper/tex/main.pdf; review/OVERLEAF_UPLOAD_CHECKLIST.md","Standalone paper package","Vendor the Elsevier support files into the paper project, compile locally, inspect the log, and update the submission checklist.","Vendored cas-sc.cls, cas-common.sty, and cas-model2-names.bst into paper/tex, ran latexmk -pdf -bibtex main.tex successfully under texlive/20220321, and updated the checklist to distinguish successful local compilation from the remaining minor layout warnings.","addressed","We verified a successful local build of the standalone paper package and documented the exact command sequence and remaining minor layout warnings in the updated checklist.",""
"Reviewer 1","R1-HR1","The paper makes progressive allocation appear emergent even though the reviewer argues this may be imposed by allocation bounds and should be compared against non-progressive cases.","methods","Abstract; Introduction; Policy Analysis Results; Cross-Policy Synthesis; Conclusions","Parameter Specifications; Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py; cross_policy_analysis_results/income_share_at_optima.csv","Figure 22; Figure 23; Table progressive_structure","State the true bounds and remove any wording that treats progressive allocation as hard-coded or emergent from unequal constraints.","Rewrote the manuscript to state that all 12 allocation variables currently use 0.0-0.8 bounds and that low-income-favoring outcomes are empirical results of the revised experiments.","addressed","The revised paper now reports the low-income-favoring pattern as an observed outcome under uniform bounds rather than as a consequence of imposed progressive constraints.",""
"Reviewer 1","R1-HR2","The reviewer asks whether the study is mono-objective or multi-objective and notes that the optimization framing is unclear.","methods","Abstract; Introduction; Optimisation Methodology; Conclusions","Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py","Algorithm 2","Clarify that the workflow uses separate single-objective runs followed by cross-policy synthesis.","Rewrote the abstract, methods, and conclusion to describe three separate single-objective Bayesian optimisations plus a comparative synthesis stage.","addressed","We now describe the workflow explicitly as three single-objective optimisation studies followed by a comparative synthesis, not as a joint multi-objective optimiser.",""
"Reviewer 1","R1-HR3","The reviewer asks how stochasticity was handled and whether simulations were repeated enough to support robust conclusions.","reproducibility","Abstract; Optimisation Methodology; Policy Analysis Results; Conclusions","Calibration and Validation","MaaS-Centralised/spf_abm_analysis_separate/evaluate_mode_share_seeds.py; MaaS-Centralised/mae_seed_opt_runs/merged_summary_20260222_122159/summary_mean_std_ci95.csv; MaaS-Centralised/Travel_time_equity_seed_opt_runs/merged_summary_20260225_161313/summary_mean_std_ci95.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/total_system_travel_time__summary_mean_std_ci95.csv; MaaS-Centralised/det_fixed_policy_runs/fixed_policy_3500_seed0/fixed_policy_fps_results.csv","Figures 7/12/17 replacements; Figures 27-29","Replace single-run claims with repeated-seed summaries and explain deterministic control.","Rewrote the methods and results around the 30-seed merged summaries and added the deterministic fixed-policy control as a mechanism check for stochastic irregularity.","addressed","The revised manuscript reports means, 95 percent confidence intervals, and deterministic-control interpretation instead of relying on single-run objective traces.",""
"Reviewer 1","R1-HR4","The reviewer asks why the metrics are not unified in scale and requests explicit metric units and interpretation.","metrics","Framework metric definitions; Optimisation Methodology; Cross-Policy Synthesis","Policy Objectives and Metrics","paper/tex/main.tex; paper/tex/appendix.tex; cross_policy_analysis_results/top_performing_policies.csv","Figures 22-29","State units and interpretation for each metric and avoid implying raw-scale comparability.","Revised the metric definitions so mode-share equity is described as dimensionless, travel-time equity as minutes, and total system travel time as minutes; clarified that cross-objective rankings use explicit normalization only for decision support.","addressed","We now report the units and interpretive scope of each metric explicitly and confine cross-metric comparisons to labelled normalized views.",""
"Reviewer 1","R1-HR5","The reviewer asks whether the model has been presented previously and whether an open-source implementation can be provided for reproducibility.","reproducibility","Optimisation Methodology","Calibration and Validation","git remote origin; paper/tex/main.tex; review/unresolved_issues.md","None","Add a code-availability statement and describe the reproducibility workflow accurately.","Added a code-availability and reproducibility paragraph with the GitHub repository URL and the revised evidence workflow.","partial","We added the repository URL and described the scripts, merged summaries, and deterministic-control workflow used in the revision.","Public visibility and archival release details were not independently verified from the local environment."
"Reviewer 1","R1-WX1","The ABM design and implementation must be clearly described and validated before drawing conclusions.","modeling","Introduction; Framework description; Limitations","Calibration and Validation","paper/tex/main.tex; paper/tex/appendix.tex; paper/Images/1_abm_etop_framework_fixed.png","Figure 1; Algorithm 1","Clarify model scope, agent interactions, and the current status of validation.","Rewrote the introduction and framework sections to describe the model as a stylised subsidy-allocation scenario tool, regenerated Figure 1 to remove a misleading visual cue, and replaced the old validation table with a clearer calibration and internal-checks discussion.","partial","The revised manuscript now distinguishes implementation audit, repeated-seed robustness, deterministic control, and a corrected architecture schematic from full empirical calibration.","A full external empirical validation study is still outside the current evidence package."
"Reviewer 1","R1-WX2","The model only considers shared cars, shared bikes, and public transport; why are private cars and private bikes not considered?","scope","Introduction; Policy Implications; Limitations","Agent-Based Model Development","paper/tex/main.tex; paper/tex/appendix.tex","None","Explain the modal scope and why private ownership modes are excluded from the current policy instrument.","Added explicit text that the current study concerns subsidies delivered through MaaS and service-based modes, not ownership, parking, or fuel policies.","addressed","We clarified that private vehicle ownership is outside the current instrument design and listed it as an important extension for future work.",""
"Reviewer 1","R1-WX3","The simulation setup is not sufficiently clear: why Niter = 144, what are the 10 initial matrices, how was the fictional environment defined, and how many repetitions were done?","methods","Optimisation Methodology; Policy Analysis Results","Parameter Specifications; Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py","Algorithm 2","Separate simulation time steps from BO iterations and document the current environment and seed workflow.","Rewrote the methods and appendix to state the 100x100 grid, 200 commuters, 144 within-run time steps, 8 Latin-hypercube initial samples, 10 or 3 BO updates by objective, and 30-seed evaluation.","addressed","The revised paper now explains the sampled FPS set, BO initialization, objective-specific BO updates, simulation horizon, and repeated-seed evaluation clearly.",""
"Reviewer 1","R1-WX4","References and sources are missing for many parameter values and assumptions, including value of time, congestion parameters, sensitivity coefficients, network parameters, benefits assumptions, and Australian data used for monetised benefits.","sources","Methods; Policy Implications","Parameter Specifications; Calibration and Validation; Competing Benefits Calculation","paper/tex/appendix.tex; MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py; Kantana-Job-Script/mode_share_optimization.pbs; Kantana-Job-Script/mae_sim_array.pbs","Table definitive_params; appendix tables","Audit which values are script-defined, which are externally sourced, and remove unsupported benefit assumptions.","Replaced the appendix parameter sections with audited script values, documented the scripted commuter-attribute weights and preserved PBS resource requests, removed the unsupported monetized-benefit claims from the manuscript, and converted the appendix competing-benefits section into a status note.","partial","We now separate audited implementation parameters, preserved job-resource records, and external calibration claims, and we no longer rely on unsupported monetized-benefit numbers.","The revision still does not add external literature support for every behavioural parameter because the current evidence package is primarily an implementation audit."
"Reviewer 1","R1-WX5","The description of Algorithm 1 is incomplete; define S, P, A, and E and explain the time scale of pricing and BPR routing updates.","methods","Framework formalization; Simulation process","Parameter Specifications","paper/tex/main.tex; paper/tex/appendix.tex","Algorithm 1; Table key_equations","Clarify the vector definitions and distinguish exogenous environment from endogenous demand.","Revised the main text and appendix to define S, P, A, and E more clearly, explain that demand is endogenous, and note that pricing and routing updates occur within the 144-step simulation horizon.","addressed","The revised appendix now distinguishes exogenous environment variables from endogenous trip generation and clarifies within-run update timing.",""
"Reviewer 1","R1-WX6","Table 6 baseline modal share distributions by income group appear unrealistic and do not sum to 100%; explain why.","results","Policy Analysis Results","Competing Benefits Calculation status note","paper/tex/main.tex; MaaS-Centralised/spf_abm_analysis_separate/visualization_outputs/mode_share_baseline.csv","Legacy baseline mode-share table","Remove or explicitly quarantine unsupported baseline mode-share claims.","Removed the legacy baseline mode-share table and rewrote the results around the seed-based summaries instead of the incomplete export.","addressed","We removed the incomplete baseline table from the manuscript rather than defending a partial export as a full mode split.",""
"Reviewer 1","R1-WX7","Explain why optimal subsidy allocation pushes low-income groups toward shared bikes, shared cars, and public transport while pushing high-income groups away from cars, and report how trip counts vary with subsidies.","interpretation","Policy Analysis Results; Policy Implications","Robustness Analysis","cross_policy_analysis_results/optimal_allocations_comparison.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/trip_summary_mean_std_ci95.csv","Figures 17-21 replacement; Table progressive_structure","Interpret the updated allocation patterns and use trip-summary evidence to explain them.","Rewrote the results to report the dominant allocation components at the revised optima and added trip-count and average-trip-time evidence for the total-system analysis.","addressed","We now discuss which allocation cells dominate each objective-specific optimum and use the trip summary to show that efficiency changes come from moderate time reductions rather than dramatic trip growth.",""
"Reviewer 1","R1-WX8","Do the reported subsidy-use shares by income group simply reflect group sizes, and why are some subsidies not used?","interpretation","Mode Share Equity Results; Policy Implications","Calibration and Validation","cross_policy_analysis_results/income_share_at_optima.csv; MaaS-Centralised/mae_seed_opt_runs/merged_summary_20260222_122159/summary_mean_std_ci95.csv; MaaS-Centralised/Travel_time_equity_seed_opt_runs/merged_summary_20260225_161313/summary_mean_std_ci95.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/total_system_travel_time__summary_mean_std_ci95.csv","Figures 8/14/20 replacements; Figure 29","Clarify the difference between population share, allocation share, and realised subsidy use, and explain budget saturation.","Added text stating that aggregate subsidy shares are not mechanically identical to population shares and that declining budget use reflects saturation rather than accounting error.","addressed","The revised results now distinguish allocation shares from group sizes and explain unused subsidies as a saturation effect in a bounded-demand system.",""
"Reviewer 1","R1-WX9","Is the recommended range consistent with previous findings and can equity improve by worsening outcomes for others?","discussion","Cross-Policy Synthesis; Policy Implications; Conclusions","Competing Benefits Calculation status note","cross_policy_analysis_results/policy_recommendations.csv; cross_policy_analysis_results/top_performing_policies.csv; paper/tex/main.tex","Figures 24-29","Replace the old 54-72 range with the revised seed-based ranges and discuss the interpretation more cautiously.","Replaced the old range with seed-based ranges, added explicit wording that a better equity score is not treated as proof of a Pareto improvement, and linked the scenario-specific interpretation to transport-equity scholarship that prioritises disadvantaged groups rather than equal nominal benefits.","addressed","We now present the revised FPS recommendations as ranges or plateaus, make the cross-group trade-offs explicit, and tie the interpretation back to the transport-equity literature already cited in the manuscript.",""
"Reviewer 1","R1-O1","The title is too broad because the article evaluates subsidy allocation policies only.","overstatement","Title","None","paper/tex/main.tex","Title","Narrow the title to subsidy-allocation scope.","Changed the title to ABM-ETOP: An Agent-Based Framework for Evaluating Multimodal Subsidy Allocation Policies for Equity and Efficiency.","addressed","The title now reflects the actual policy scope of the paper.",""
"Reviewer 1","R1-O2","The paper claims ABM-ETOP overcomes limitations of other models as validated through comparisons, but no such comparisons are presented.","overstatement","Literature Review and Research Gaps","None","paper/tex/main.tex","Table model_comparison","Tone down the comparison claim and describe Table 2 as conceptual rather than empirical validation.","Rewrote the ABM-ETOP positioning paragraph to describe the table as a conceptual capability comparison rather than a validated benchmark.","addressed","We removed the unsupported claim of validation through direct comparisons.",""
"Reviewer 1","R1-O3","The paper appears to equate horizontal equity with total system travel time or system-wide efficiency without sufficient justification.","overstatement","Framework metric definitions; Results; Conclusions","Policy Objectives and Metrics","paper/tex/main.tex; paper/tex/appendix.tex","Figures 22-29","Separate equity-focused metrics from the efficiency metric and stop treating TSTT as a direct horizontal-equity index.","Revised the metric definitions and results language to describe TSTT as a system-efficiency outcome rather than as a full horizontal-equity measure.","addressed","The revised manuscript now distinguishes clearly between equity-focused outcomes and the efficiency outcome.",""
